provider_name,provider_id,provided_name,provided_id,share_provided,year,is_most_recent,source
Canon,P159,i-line lithography tools,N106,0.47731,2024,true,CSET analysis of TechInsights data
Canon,P159,KrF (DUV) lithography tools,N105,0.1744,2024,true,CSET analysis of TechInsights data
DEU,P32,"Film, stack, and shape metrology tools",N65,0.05034,2024,true,CSET analysis of TechInsights data
DEU,P32,Wafer bonding and aligning tools,N10,0.0371,2024,true,CSET analysis of TechInsights data
DEU,P32,Direct Write Systems,N108,0.3279,2024,true,CSET analysis of TechInsights data
DEU,P32,Photomask inspection and repair tools,N62,0.04604,2024,true,CSET analysis of TechInsights data
DEU,P32,Resist processing tools,N32,0.0354,2024,true,CSET analysis of TechInsights data
Daifuku,P71,Wafer handlers,N11,0.53127,2024,true,CSET analysis of TechInsights data
Daifuku,P71,Photomask handlers,N12,0.0587,2024,true,CSET analysis of TechInsights data
Disco,P62,Crystal machining tools,N9,0.67979,2024,true,CSET analysis of TechInsights data
EBARA,P128,ECP tools (for adv. pkg.),N113,0.02943,2024,true,CSET analysis of TechInsights data
EBARA,P128,Chemical mechanical planarization tools,N86,0.25874,2024,true,CSET analysis of TechInsights data
EV Group,P67,Imprint Lithography,N107,0.87541,2024,true,CSET analysis of TechInsights data
EV Group,P67,Wafer bonding and aligning tools,N10,0.55574,2024,true,CSET analysis of TechInsights data
Eugene Technology,P320,Low-pressure CVD tools,N39,0.0747,2024,true,CSET analysis of TechInsights data
GBR,P110,Misc. dry etch tools,N54,0.03705,2024,true,CSET analysis of TechInsights data
GigaLane,P126,Misc. dry etch tools,N54,0.05,2024,true,CSET analysis of TechInsights data
GigaLane,P126,Imprint Lithography,N107,0.07211,2024,true,CSET analysis of TechInsights data
Gudeng,P75,Photomask handlers,N12,0.08324,2024,true,CSET analysis of TechInsights data
Hitachi,P97,Conductor etching tools,N50,0.03967,2024,true,CSET analysis of TechInsights data
Hitachi,P97,Defect inspection tools,N67,0.0227,2024,true,CSET analysis of TechInsights data
Hitachi,P97,Defect review stations,N116,0.03846,2024,true,CSET analysis of TechInsights data
Hitachi,P97,Critical dimensions metrology tools,N66,0.6899,2024,true,CSET analysis of TechInsights data
Hwatsing,P129,Chemical mechanical planarization tools,N86,0.08805,2024,true,CSET analysis of TechInsights data
IMS Nanofabrication,P328,Mask Exposure Systems - E-Beam,N29,0.46436,2024,true,CSET analysis of TechInsights data
ISR,P133,"Film, stack, and shape metrology tools",N65,0.20644,2024,true,CSET analysis of TechInsights data
ISR,P133,Defect inspection tools,N67,0.03402,2024,true,CSET analysis of TechInsights data
JEOL,P92,Direct Write Systems,N108,0.6721,2024,true,CSET analysis of TechInsights data
JEOL,P92,Mask Exposure Systems - E-Beam,N29,0.15048,2024,true,CSET analysis of TechInsights data
JPN,P7,i-line lithography tools,N106,0.53474,2024,true,CSET analysis of TechInsights data
JPN,P7,KrF (DUV) lithography tools,N105,0.20827,2024,true,CSET analysis of TechInsights data
JPN,P7,Crystal machining tools,N9,0.99643,2024,true,CSET analysis of TechInsights data
JPN,P7,Wafer handlers,N11,0.85602,2024,true,CSET analysis of TechInsights data
JPN,P7,Photomask handlers,N12,0.86824,2024,true,CSET analysis of TechInsights data
JPN,P7,ECP tools (for adv. pkg.),N113,0.02943,2024,true,CSET analysis of TechInsights data
JPN,P7,Conductor etching tools,N50,0.06845,2024,true,CSET analysis of TechInsights data
JPN,P7,Defect inspection tools,N67,0.0227,2024,true,CSET analysis of TechInsights data
JPN,P7,Defect review stations,N116,0.03846,2024,true,CSET analysis of TechInsights data
JPN,P7,Direct Write Systems,N108,0.6721,2024,true,CSET analysis of TechInsights data
JPN,P7,Mask Exposure Systems - E-Beam,N29,0.53564,2024,true,CSET analysis of TechInsights data
JPN,P7,Atomic layer deposition tools,N41,0.25379,2024,true,CSET analysis of TechInsights data
JPN,P7,Tube-based diffusion and deposition tools,N44,0.799,2024,true,CSET analysis of TechInsights data
JPN,P7,CVD tools (for adv. pkg.),N110,0.06676,2024,true,CSET analysis of TechInsights data
JPN,P7,Photomask inspection and repair tools,N62,0.48977,2024,true,CSET analysis of TechInsights data
JPN,P7,ArF dry (DUV) lithography tools,N21,0.05655,2024,true,CSET analysis of TechInsights data
JPN,P7,"Film, stack, and shape metrology tools",N65,0.07124,2024,true,CSET analysis of TechInsights data
JPN,P7,Rapid thermal processing tools,N43,0.05663,2024,true,CSET analysis of TechInsights data
JPN,P7,Wet etching and cleaning tools,N49,0.60944,2024,true,CSET analysis of TechInsights data
JPN,P7,Ion implantation,N17,0.08167,2024,true,CSET analysis of TechInsights data
JPN,P7,Misc. dry etch tools,N54,0.21912,2024,true,CSET analysis of TechInsights data
JPN,P7,Low-pressure CVD tools,N39,0.30514,2024,true,CSET analysis of TechInsights data
JPN,P7,Plasma modification tools,N104,0.11639,2024,true,CSET analysis of TechInsights data
JPN,P7,Insulator etching tools,N51,0.61756,2024,true,CSET analysis of TechInsights data
JPN,P7,Physical vapor deposition tools,N42,0.02128,2024,true,CSET analysis of TechInsights data
JPN,P7,PVD tools (for adv. pkg.),N111,0.07049,2024,true,CSET analysis of TechInsights data
JPN,P7,Critical dimensions metrology tools,N66,0.6899,2024,true,CSET analysis of TechInsights data
JPN,P7,Dry stripping tools,N53,0.34368,2024,true,CSET analysis of TechInsights data
JPN,P7,Wafer bonding and aligning tools,N10,0.39486,2024,true,CSET analysis of TechInsights data
JPN,P7,Chemical mechanical planarization tools,N86,0.25874,2024,true,CSET analysis of TechInsights data
JPN,P7,Resist processing tools,N32,0.91006,2024,true,CSET analysis of TechInsights data
Jusung Engineering,P332,Atomic layer deposition tools,N41,0.03322,2024,true,CSET analysis of TechInsights data
KLA,P118,"Film, stack, and shape metrology tools",N65,0.47038,2024,true,CSET analysis of TechInsights data
KLA,P118,Overlay metrology tools,N114,0.54221,2024,true,CSET analysis of TechInsights data
KLA,P118,Defect inspection tools,N67,0.84581,2024,true,CSET analysis of TechInsights data
KLA,P118,E-beam metrology tools,N115,0.11943,2024,true,CSET analysis of TechInsights data
KLA,P118,Defect review stations,N116,0.24221,2024,true,CSET analysis of TechInsights data
KLA,P118,Photomask inspection and repair tools,N62,0.4372,2024,true,CSET analysis of TechInsights data
KLA,P118,PVD tools (for adv. pkg.),N111,0.07913,2024,true,CSET analysis of TechInsights data
KLA,P118,Etching tools (for adv. pkg.),N101,0.09848,2024,true,CSET analysis of TechInsights data
KOR,P4,Atomic layer deposition tools,N41,0.03322,2024,true,CSET analysis of TechInsights data
KOR,P4,Dry stripping tools,N53,0.07913,2024,true,CSET analysis of TechInsights data
KOR,P4,Low-pressure CVD tools,N39,0.0747,2024,true,CSET analysis of TechInsights data
KOR,P4,Misc. dry etch tools,N54,0.05,2024,true,CSET analysis of TechInsights data
KOR,P4,Plasma CVD tools,N38,0.03856,2024,true,CSET analysis of TechInsights data
KOR,P4,Wafer handlers,N11,0.13698,2024,true,CSET analysis of TechInsights data
KOR,P4,Wet etching and cleaning tools,N49,0.04233,2024,true,CSET analysis of TechInsights data
KOR,P4,Imprint Lithography,N107,0.07211,2024,true,CSET analysis of TechInsights data
KOR,P4,Dry clean tools,N102,0.39752,2024,true,CSET analysis of TechInsights data
Keithley Instruments,P143,Process monitoring tools,N64,0.31407,2024,true,CSET analysis of TechInsights data
Keysight Tech,P142,Process monitoring tools,N64,0.68593,2024,true,CSET analysis of TechInsights data
Kokusai,P116,Atomic layer deposition tools,N41,0.0936,2024,true,CSET analysis of TechInsights data
Kokusai,P116,Tube-based diffusion and deposition tools,N44,0.23667,2024,true,CSET analysis of TechInsights data
Kokusai,P116,CVD tools (for adv. pkg.),N110,0.06676,2024,true,CSET analysis of TechInsights data
Kokusai,P116,Plasma modification tools,N104,0.05672,2024,true,CSET analysis of TechInsights data
Kokusai,P116,Rapid thermal processing tools,N43,0.02367,2024,true,CSET analysis of TechInsights data
Kokusai,P116,Dry stripping tools,N53,0.27195,2024,true,CSET analysis of TechInsights data
Lam Research,P111,Conductor etching tools,N50,0.48794,2024,true,CSET analysis of TechInsights data
Lam Research,P111,Insulator etching tools,N51,0.25856,2024,true,CSET analysis of TechInsights data
Lam Research,P111,Dry clean tools,N102,0.59304,2024,true,CSET analysis of TechInsights data
Lam Research,P111,Plasma CVD tools,N38,0.27665,2024,true,CSET analysis of TechInsights data
Lam Research,P111,Low-pressure CVD tools,N39,0.36878,2024,true,CSET analysis of TechInsights data
Lam Research,P111,Electrochemical plating tools,N45,0.9984,2024,true,CSET analysis of TechInsights data
Lam Research,P111,ECP tools (for adv. pkg.),N113,0.68351,2024,true,CSET analysis of TechInsights data
Lam Research,P111,Dry stripping tools,N53,0.08131,2024,true,CSET analysis of TechInsights data
Lam Research,P111,Atomic layer deposition tools,N41,0.11028,2024,true,CSET analysis of TechInsights data
Lam Research,P111,Wet etching and cleaning tools,N49,0.17052,2024,true,CSET analysis of TechInsights data
Lam Research,P111,Etching tools (for adv. pkg.),N101,0.49021,2024,true,CSET analysis of TechInsights data
Lam Research,P111,CVD tools (for adv. pkg.),N110,0.10708,2024,true,CSET analysis of TechInsights data
Lasertec,P140,Photomask inspection and repair tools,N62,0.48977,2024,true,CSET analysis of TechInsights data
Mattson Tech,P119,Rapid thermal processing tools,N43,0.03814,2024,true,CSET analysis of TechInsights data
Mattson Tech,P119,Dry stripping tools,N53,0.28026,2024,true,CSET analysis of TechInsights data
Muratec,P74,Wafer handlers,N11,0.30078,2024,true,CSET analysis of TechInsights data
Muratec,P74,Photomask handlers,N12,0.80954,2024,true,CSET analysis of TechInsights data
Mycronic,P94,Mask Exposure Systems - Laser Beam,N30,0.37296,2024,true,CSET analysis of TechInsights data
NAURA,P115,Physical vapor deposition tools,N42,0.10436,2024,true,CSET analysis of TechInsights data
NAURA,P115,Tube-based diffusion and deposition tools,N44,0.10387,2024,true,CSET analysis of TechInsights data
NAURA,P115,CVD tools (for adv. pkg.),N110,0.19148,2024,true,CSET analysis of TechInsights data
NAURA,P115,Misc. dry etch tools,N54,0.55541,2024,true,CSET analysis of TechInsights data
NAURA,P115,Wet etching and cleaning tools,N49,0.03289,2024,true,CSET analysis of TechInsights data
NAURA,P115,Low-pressure CVD tools,N39,0.02826,2024,true,CSET analysis of TechInsights data
NAURA,P115,High-temperature CVD tools,N40,0.03431,2024,true,CSET analysis of TechInsights data
NAURA,P115,PVD tools (for adv. pkg.),N111,0.0881,2024,true,CSET analysis of TechInsights data
NAURA,P115,Conductor etching tools,N50,0.0607,2024,true,CSET analysis of TechInsights data
NAURA,P115,Etching tools (for adv. pkg.),N101,0.0842,2024,true,CSET analysis of TechInsights data
NAURA,P115,Dry stripping tools,N53,0.07343,2024,true,CSET analysis of TechInsights data
